Q_ID,Question_Text,Domain,Tier,Intensity,Primary_Bucket,Deck_Eligible,Contraindications,Personas,Situations,Mechanisms,Performance_Tags,Relationship_Tags,Risk_Flags,Biological_Tags,Digital_Tags,Format_Tags,Symptoms,Goals,Sequence_Order,Section_Block
NP-0024,"Do you carry a ‘favor debt ledger’? If yes, what fear does that ledger prevent?",D.V_RELATIONSHIPS,Tier 2,I3.DEEP,Network,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.RELATIONAL_DEFENSE,,"REL.GUILT_DEBT, REL.COMMUNICATION_BREAKDOWN",,BIO.NERVOUS_SYSTEM,,F.SOLO_JOURNAL,SYM.LONELINESS,"G.CONNECTION, G.BOUNDARIES",24,DEEP
NP-0025,How close is ‘too close’ for you? What happens in your body when someone gets past that line?,D.I_HARDWARE,Tier 2,I2.SCAN,Hardware,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS","M.THREAT_RESPONSE, M.BOUNDARY_SIGNALING",PERF.EMOTIONAL_LATENCY,"REL.CLOSENESS_THRESHOLD, REL.COMMUNICATION_BREAKDOWN",,"BIO.BOUNDARY_BODY_SIGNAL, BIO.NERVOUS_SYSTEM",,F.SOLO_JOURNAL,SYM.ANXIETY,"G.BOUNDARIES, G.REGULATION",25,DEEP
NP-0026,"In your family of origin, what role kept you safe (peacemaker, achiever, invisible one, caretaker)? How does it show up now?",D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.ATTACHMENT_TEMPLATE,PERF.RELATIONAL_FRICTION,"REL.FAMILY_ROLES, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.ANXIETY,"G.CLARITY, G.SAFETY",26,DEEP
NP-0027,What is your default interpretation when someone is quiet: ‘they’re angry’ or ‘they don’t care’ or ‘I did something wrong’?,D.II_OS,Tier 2,I3.DEEP,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.COG_DISTORTION,,"M.COG_DISTORTION, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.RUMINATION,"G.CLARITY, G.SAFETY",27,DEEP
NP-0028,"What ‘myth’ do you carry about love (love means mind-reading, love means sacrifice, love means constant closeness)?",D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.COG_DISTORTION,,"REL.LOVE_LANGUAGE_MYTH, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.RUMINATION,"G.CLARITY, G.SAFETY",28,DEEP
NP-0029,"Where do you try to control tone, timing, or outcomes in conversation to prevent discomfort?",D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.CONTROL_STRATEGY,PERF.CONFLICT_AVOIDANCE,"M.CONTROL_STRATEGY, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.STRESS,"G.CLARITY, G.SAFETY",29,DEEP
NP-0030,What did your childhood environment teach you about conflict: ‘conflict is dangerous’ or ‘conflict is normal’ or ‘conflict is how you get power’?,D.II_OS,Tier 2,I3.DEEP,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.COG_DISTORTION,,"REL.CONFLICT_MYTH, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.RUMINATION,"G.CLARITY, G.SAFETY",30,DEEP
NP-0031,"What feeling do you block with logic in relationships: shame, fear, grief, or longing?",D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.SHAME_GUARD,PERF.CONFLICT_AVOIDANCE,"M.SHAME_GUARD, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.SHAME,"G.CLARITY, G.SAFETY",31,DEEP
NP-0032,"What is the ‘tax’ you expect to pay if you are vulnerable (rejection, ridicule, obligation, loss of respect)?",D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.ATTACHMENT_TEMPLATE,PERF.RELATIONAL_FRICTION,"REL.VULNERABILITY_TAX, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.ANXIETY,"G.CLARITY, G.SAFETY",32,DEEP
NP-0033,Finish the sentence with specificity: ‘I feel safe with someone when they…’,D.II_OS,Tier 2,I3.DEEP,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.COG_DISTORTION,,"REL.SAFETY_DEFINITION, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.RUMINATION,"G.CLARITY, G.SAFETY",33,DEEP
NP-0034,"What do you believe autonomy means in partnership (freedom, distance, privacy, independence)? What conflicts does it create?",D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.COG_DISTORTION,,"REL.AUTONOMY_SCRIPT, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.RUMINATION,"G.CLARITY, G.SAFETY",34,DEEP
NP-0035,Do you attract or become the rescuer? What need does rescuing meet for you?,D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.COG_DISTORTION,,"REL.RESCUE_SCRIPT, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.RUMINATION,"G.CLARITY, G.SAFETY",35,DEEP
NP-0036,"What are your unspoken rules for being understood (don’t interrupt, respond fast, remember details)? Which rules are unrealistic?",D.II_OS,Tier 2,I3.DEEP,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.COG_DISTORTION,,"REL.ATTUNEMENT_RULES, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.RUMINATION,"G.CLARITY, G.SAFETY",36,DEEP
NP-0037,"What is your model of abandonment (slow drift, sudden exit, emotional disappearance)? Where did you learn it?",D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.ATTACHMENT_TEMPLATE,PERF.RELATIONAL_FRICTION,"REL.ABANDONMENT_MODEL, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.ANXIETY,"G.CLARITY, G.SAFETY",37,DEEP
NP-0038,"What does ‘respect’ mean to you behaviorally (tone, priority, competence, loyalty)?",D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.ISOLATION, S.BREAKUP, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS",M.COG_DISTORTION,,"REL.RESPECT_MODEL, REL.COMMUNICATION_BREAKDOWN",,,,F.SOLO_JOURNAL,SYM.RUMINATION,"G.CLARITY, G.SAFETY",38,DEEP
NP-0039,What boundary do you set too late (or not at all)—and what do you pay for that delay?,D.VI_OUTPUT,Tier 1,I2.SCAN,Output,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS","M.BOUNDARY_FAILURE, M.THREAT_RESPONSE","PERF.REPAIR_SPEED, PERF.EMOTIONAL_REGULATION","REL.BOUNDARIES, REL.COMMUNICATION_BREAKDOWN",,BIO.BREATH_SIGNATURE,,"F.SOLO_JOURNAL, F.COACHING_1ON1","SYM.IRRITABILITY, SYM.RESISTANCE","G.BOUNDARIES, G.REPAIR, G.CONNECTION",39,ACTION
NP-0040,"After conflict, what is your repair protocol in 3 steps (what you say, what you do, what you stop doing)?",D.VI_OUTPUT,Tier 1,I2.SCAN,Output,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS","M.BOUNDARY_FAILURE, M.THREAT_RESPONSE","PERF.REPAIR_SPEED, PERF.EMOTIONAL_REGULATION","REL.REPAIR, REL.COMMUNICATION_BREAKDOWN",,BIO.BREATH_SIGNATURE,,"F.SOLO_JOURNAL, F.COACHING_1ON1","SYM.IRRITABILITY, SYM.RESISTANCE","G.BOUNDARIES, G.REPAIR, G.CONNECTION",40,ACTION
NP-0041,"When you feel misunderstood, do you pursue (more messages) or withdraw (silence)? What would a ‘third option’ look like?",D.VI_OUTPUT,Tier 1,I2.SCAN,Output,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS","M.BOUNDARY_FAILURE, M.THREAT_RESPONSE","PERF.REPAIR_SPEED, PERF.EMOTIONAL_REGULATION","REL.PURSUE_WITHDRAW, REL.COMMUNICATION_BREAKDOWN",,BIO.BREATH_SIGNATURE,,"F.SOLO_JOURNAL, F.COACHING_1ON1","SYM.IRRITABILITY, SYM.RESISTANCE","G.BOUNDARIES, G.REPAIR, G.CONNECTION",41,ACTION
NP-0042,"In arguments, what do you reliably stop doing first: listening, staying respectful, or staying present?",D.VI_OUTPUT,Tier 1,I2.SCAN,Output,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS","M.BOUNDARY_FAILURE, M.THREAT_RESPONSE","PERF.REPAIR_SPEED, PERF.EMOTIONAL_REGULATION","REL.LISTENING_FAILURE, REL.COMMUNICATION_BREAKDOWN",,BIO.BREATH_SIGNATURE,,"F.SOLO_JOURNAL, F.COACHING_1ON1","SYM.IRRITABILITY, SYM.RESISTANCE","G.BOUNDARIES, G.REPAIR, G.CONNECTION",42,ACTION
NP-0043,What request do you avoid making because it feels needy or risky? Write the cleanest version of that request.,D.VI_OUTPUT,Tier 1,I2.SCAN,Output,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS","M.BOUNDARY_FAILURE, M.THREAT_RESPONSE","PERF.REPAIR_SPEED, PERF.EMOTIONAL_REGULATION","REL.REQUEST_SKILL, REL.COMMUNICATION_BREAKDOWN",,BIO.BREATH_SIGNATURE,,"F.SOLO_JOURNAL, F.COACHING_1ON1","SYM.IRRITABILITY, SYM.RESISTANCE","G.BOUNDARIES, G.REPAIR, G.CONNECTION",43,ACTION
NP-0044,What sentence reliably de-escalates conflict for you (and what sentence reliably escalates it)?,D.VI_OUTPUT,Tier 1,I2.SCAN,Output,TRUE,,"P.ENGINEER, P.FOUNDER, P.PARTNER","S.CONFLICT, S.COMMUNICATION_BREAKDOWN, S.RELATIONSHIP_STRESS","M.BOUNDARY_FAILURE, M.THREAT_RESPONSE","PERF.REPAIR_SPEED, PERF.EMOTIONAL_REGULATION","REL.CONFLICT_DEESCALATION, REL.COMMUNICATION_BREAKDOWN",,BIO.BREATH_SIGNATURE,,"F.SOLO_JOURNAL, F.COACHING_1ON1","SYM.IRRITABILITY, SYM.RESISTANCE","G.BOUNDARIES, G.REPAIR, G.CONNECTION",44,ACTION
